Name            Long        Lat         
CHR             121.06016   14.65276    
SOLAIR          121.06154   14.65710     
NCPAG           121.06056   14.65642    
ISSI            121.06174   14.65654    
GPPB            121.06926   14.65698  
CHK             121.06281   14.65934
UPVan           121.06417   14.65888
DMST            121.06423   14.65824 
SURP            121.06285   14.65726 
CMC             121.06453   14.65670 
CMs             121.06539   14.65666
Theatre         121.06609   14.65678 
Fonacier        121.06583   14.65796 
UPFI            121.06702   14.65684 
IBG-KAL         121.06816   14.65719 
Melchor Hall    121.06952   14.65686 
NEC             121.07118   14.65661 
GYH             121.07118   14.65721
Malcolm         121.07210   14.65674
BahayNgAlumni   121.06665   14.65805 
Molave          121.06766   14.65794 
Yakal           121.06904   14.65811 
Ipil            121.07010   14.65809 
Acacia          121.07016   14.65898
Kalayaan        121.06911   14.65891 
Sanggumay       121.06784   14.65885
Area 2          121.06777   14.66016 
DiliMall        121.06942   14.65982
PHSD            121.07118   14.65890 
UHS             121.07102   14.65989 
Area 1          121.07061   14.66198 
UH              121.07286   14.66121 
CRL             121.07221   14.65984 
Int. Center     121.07331   14.65828 
Ilang Ilang     121.07345   14.65947
Dagohoy         121.07418   14.66064 
AC / GT         121.07378   14.65717 
IIS / RH        121.07303   14.65719
Quezon Hall     121.06511   14.65487 
PCED            121.07344   14.65620 
Virata          121.07348   14.65526 
Vinzons         121.07356   14.65439 
SUB             121.07384   14.65420
KNL             121.06381   14.64725
CFA             121.06179   14.65248 
OCR             121.06012   14.65254
ASP             121.06323   14.65260          
SPMO            121.06367   14.65194
Gyud Food       121.06269   14.65188 
HOA             121.06175   14.64971
Kamagong        121.06263   14.64849
Centennial      121.06265   14.64805
Village B       121.06331   14.65104
Village A       121.06331   14.64981
Stat2           121.06645   14.65162
ARKI            121.06512   14.65108
STAT1           121.07113   14.65805
NEC             121.07108   14.65662
GYH             121.07115   14.65723
CAL             121.06742   14.65266
ICE             121.06583   14.64897
EEEP            121.06536   14.64943
MMM             121.06801   14.64829
EEEI            121.06830   14.64950
CSLib           121.06942   14.64927
NIGS            121.06946   14.64809
MSI             121.03909   14.65064
NSRI            121.06911   14.65200
NISMED          121.06756   14.65176
STC             121.06720   14.65104
Vargas          121.06677   14.65335
AECH            121.06842   14.64852
Palma Hall      121.06966   14.65282
Arbo            121.06979   14.65080
Kamia           121.07038   14.65198
Sampaguita      121.07108   14.65207
UPIS K-2        121.07224   14.65236
UPIS 3-6        121.07219   14.65293
UPIS HS         121.07350   14.65314
Benitez         121.07212   14.65354
Lagmay          121.07110   14.65354
CHE             121.07331   14.65191
PAGASA          121.07245   14.65110
IB              121.07087   14.65091
NIMBB           121.07161   14.65072
IC-R            121.07310   14.65091
IC-T            121.07318   14.65028
NIP             121.07323   14.64893
IMath           121.07156   14.64858
IESM            121.07025   14.64825
CSAdmin         121.07080   14.64977
CSRC            121.07131   14.64978
