name,type,length_m,start_coord,end_coord
University Avenue,tertiary,212,"121.064311, 14.654997","121.062334, 14.654957"
Osmeña Avenue,tertiary,20,"121.064311, 14.654997","121.064315, 14.654820"
Osmeña Avenue,tertiary,123,"121.072755, 14.656161","121.071607, 14.656151"
F. Ma. Guerrero Street,unclassified,155,"121.072755, 14.656161","121.072738, 14.657556"
M. Roxas Avenue,tertiary,326,"121.068623, 14.653870","121.071660, 14.653913"
A. Roces Senior Avenue,unclassified,153,"121.068623, 14.653870","121.068644, 14.652492"
A. Roces Senior Avenue,unclassified,250,"121.068623, 14.653870","121.068592, 14.656126"
Emilio Jacinto Street,residential,17,"121.062334, 14.654957","121.062333, 14.654799"
Emilio Jacinto Street,unclassified,221,"121.062334, 14.654957","121.062353, 14.656944"
University Avenue,tertiary,82,"121.062334, 14.654957","121.061565, 14.654944"
Shuster Street,tertiary,14,"121.074282, 14.653590","121.074147, 14.653590"
Katipunan Avenue,primary,460,"121.074282, 14.653590","121.074308, 14.649449"
Carlos P. Garcia Avenue,secondary,22,"121.060241, 14.647266","121.060085, 14.647397"
Magiting Street,tertiary,21,"121.060241, 14.647266","121.060131, 14.647103"
Carlos P. Garcia Avenue,secondary,28,"121.060241, 14.647266","121.060485, 14.647174"
Aguinaldo Street,residential,371,"121.067873, 14.647265","121.069763, 14.644689"
Carlos P. Garcia Avenue,secondary,219,"121.067873, 14.647265","121.065984, 14.647984"
Carlos P. Garcia Avenue,secondary,118,"121.067873, 14.647265","121.068968, 14.647203"
Carlos P. Garcia Avenue,secondary,17,"121.058421, 14.654892","121.058424, 14.654732"
Magsaysay Avenue,unclassified,13,"121.074224, 14.657565","121.074099, 14.657563"
Magsaysay Avenue,unclassified,31,"121.074224, 14.657565","121.074514, 14.657570"
Katipunan Avenue,primary,282,"121.074224, 14.657565","121.074236, 14.655023"
F. Agoncillo Street,unclassified,209,"121.071606, 14.657553","121.071606, 14.659439"
Magsaysay Avenue,unclassified,105,"121.071606, 14.657553","121.070628, 14.657551"
Magsaysay Avenue,unclassified,121,"121.071606, 14.657553","121.072738, 14.657556"
F. Agoncillo Street,unclassified,155,"121.071606, 14.657553","121.071607, 14.656151"
Osmeña Avenue,tertiary,535,"121.068592, 14.656126","121.064311, 14.654997"
A. Roces Senior Avenue,unclassified,250,"121.068592, 14.656126","121.068623, 14.653870"
A. Roces Senior Avenue,unclassified,158,"121.068592, 14.656126","121.068572, 14.657549"
Dagohoy Street,residential,138,"121.072700, 14.659802","121.073990, 14.659837"
Gomburza Street,residential,101,"121.072700, 14.659802","121.072551, 14.660698"
F. Ma. Guerrero Street,residential,39,"121.072700, 14.659802","121.072717, 14.659448"
Laurel Avenue,unclassified,207,"121.068544, 14.659417","121.070474, 14.659427"
A. Roces Senior Avenue,residential,28,"121.068544, 14.659417","121.068536, 14.659674"
A. Roces Senior Avenue,unclassified,17,"121.068544, 14.659417","121.068540, 14.659256"
F. Ma. Guerrero Street,unclassified,210,"121.072717, 14.659448","121.072738, 14.657556"
F. Ma. Guerrero Street,residential,39,"121.072717, 14.659448","121.072700, 14.659802"
Laurel Avenue,unclassified,119,"121.072717, 14.659448","121.071606, 14.659439"
J. Escaler Street,residential,347,"121.074471, 14.645010","121.074297, 14.646332"
Katipunan Avenue,primary,285,"121.074471, 14.645010","121.074593, 14.642448"
B. Gonzales Street,residential,158,"121.073367, 14.641686","121.074593, 14.642448"
B. Gonzales Street,residential,118,"121.073367, 14.641686","121.072345, 14.641294"
Esteban Abada Street,residential,610,"121.073367, 14.641686","121.070426, 14.642850"
J. Escaler Street,residential,347,"121.074297, 14.646332","121.074471, 14.645010"
Katipunan Avenue,primary,148,"121.074297, 14.646332","121.074471, 14.645010"
C. Salvador Street,residential,80,"121.072345, 14.641294","121.072372, 14.642020"
B. Gonzales Street,residential,118,"121.072345, 14.641294","121.073367, 14.641686"
A. Melchor Street,residential,25,"121.070314, 14.642491","121.070524, 14.642599"
M. V. del Rosario Street,residential,107,"121.070314, 14.642491","121.070786, 14.641644"
A. Melchor Street,residential,67,"121.070314, 14.642491","121.069766, 14.642213"
N. Reyes Street,residential,177,"121.072372, 14.642020","121.070786, 14.641644"
C. Salvador Street,residential,80,"121.072372, 14.642020","121.072345, 14.641294"
C. Salvador Street,residential,308,"121.072372, 14.642020","121.070524, 14.642599"
Esteban Abada Street,residential,100,"121.069766, 14.642213","121.070426, 14.642850"
A. Melchor Street,residential,153,"121.069766, 14.642213","121.068758, 14.641233"
A. Melchor Street,residential,67,"121.069766, 14.642213","121.070314, 14.642491"
A. Melchor Street,residential,153,"121.068758, 14.641233","121.069766, 14.642213"
A. Maria Regidor Street,unclassified,112,"121.072800, 14.653571","121.072830, 14.652558"
Shuster Street,unclassified,144,"121.072800, 14.653571","121.074147, 14.653590"
A. Maria Regidor Street,unclassified,29,"121.072800, 14.653571","121.072773, 14.653833"
M. Roxas Avenue,tertiary,136,"121.064315, 14.654820","121.064957, 14.653821"
Emilio Jacinto Street,residential,17,"121.062333, 14.654799","121.062334, 14.654957"
University Avenue,tertiary,213,"121.062333, 14.654799","121.064315, 14.654820"
Emilio Jacinto Street,unclassified,203,"121.062333, 14.654799","121.062331, 14.652964"
University Avenue,tertiary,338,"121.058424, 14.654732","121.061572, 14.654785"
Carlos P. Garcia Avenue,secondary,407,"121.058424, 14.654732","121.059136, 14.651137"
Carlos P. Garcia Avenue,secondary,17,"121.058424, 14.654732","121.058421, 14.654892"
G. Apacible Street,unclassified,156,"121.070628, 14.657551","121.070634, 14.656143"
Magsaysay Avenue,unclassified,221,"121.070628, 14.657551","121.068572, 14.657549"
Magsaysay Avenue,unclassified,105,"121.070628, 14.657551","121.071606, 14.657553"
Dagohoy Street,residential,138,"121.073990, 14.659837","121.072700, 14.659802"
Dagohoy Street,residential,32,"121.073990, 14.659837","121.073991, 14.659545"
Dagohoy Street,residential,31,"121.073990, 14.659837","121.073990, 14.660119"
Saint Francis Street,residential,95,"121.073990, 14.659837","121.074882, 14.659840"
Dagohoy Street,residential,27,"121.073994, 14.659295","121.073991, 14.659545"
Dagohoy Street,residential,194,"121.073994, 14.659295","121.074099, 14.657563"
Unnamed Road,residential,28,"121.074806, 14.659293","121.074852, 14.659548"
Ricarte Street,residential,87,"121.074806, 14.659293","121.073994, 14.659295"
Unnamed Road,residential,37,"121.074806, 14.659293","121.074718, 14.658964"
Ricarte Street,residential,58,"121.074806, 14.659293","121.075354, 14.659294"
Unnamed Road,residential,25,"121.074882, 14.659840","121.074888, 14.660071"
Unnamed Road,residential,2,"121.074882, 14.659840","121.074880, 14.659817"
Saint Francis Street,residential,95,"121.074882, 14.659840","121.073990, 14.659837"
Unnamed Road,residential,7,"121.074838, 14.660653","121.074848, 14.660591"
Unnamed Road,residential,33,"121.074838, 14.660653","121.074774, 14.660950"
Dagohoy Street,residential,110,"121.074838, 14.660653","121.074012, 14.660392"
Quirino Avenue,unclassified,197,"121.068644, 14.652492","121.067004, 14.651801"
Quirino Avenue,unclassified,327,"121.068644, 14.652492","121.071692, 14.652534"
Velasquez Street,unclassified,600,"121.068644, 14.652492","121.068968, 14.647203"
A. Roces Senior Avenue,unclassified,153,"121.068644, 14.652492","121.068623, 14.653870"
F. Agoncillo Street,residential,39,"121.071606, 14.659439","121.071602, 14.659797"
Laurel Avenue,unclassified,119,"121.071606, 14.659439","121.072717, 14.659448"
Laurel Avenue,unclassified,106,"121.071606, 14.659439","121.070618, 14.659428"
Laurel Avenue,unclassified,15,"121.070618, 14.659428","121.070474, 14.659427"
G. Apacible Street,unclassified,208,"121.070618, 14.659428","121.070628, 14.657551"
Laurel Avenue,unclassified,106,"121.070618, 14.659428","121.071606, 14.659439"
Magsaysay Avenue,unclassified,221,"121.068572, 14.657549","121.070628, 14.657551"
A. Roces Senior Avenue,unclassified,158,"121.068572, 14.657549","121.068592, 14.656126"
Magsaysay Avenue,unclassified,174,"121.068572, 14.657549","121.066948, 14.657561"
A. Roces Senior Avenue,unclassified,189,"121.068572, 14.657549","121.068540, 14.659256"
A. Roces Senior Avenue,residential,75,"121.068555, 14.660854","121.068628, 14.661532"
A. Roces Senior Avenue,residential,31,"121.068555, 14.660854","121.068529, 14.660574"
M. Viola Street,residential,181,"121.068555, 14.660854","121.066865, 14.660861"
M. Viola Street,residential,208,"121.068555, 14.660854","121.070492, 14.660837"
A. Roces Senior Avenue,residential,37,"121.068521, 14.660237","121.068529, 14.660574"
A. Roces Senior Avenue,residential,12,"121.068521, 14.660237","121.068522, 14.660129"
G. Apacible Street,residential,69,"121.070472, 14.660209","121.070492, 14.660837"
P. Valenzuela Street,residential,209,"121.070472, 14.660209","121.068521, 14.660237"
G. Apacible Street,residential,69,"121.070492, 14.660837","121.070472, 14.660209"
G. Apacible Street,residential,121,"121.070492, 14.660837","121.070034, 14.661802"
M. Viola Street,residential,208,"121.070492, 14.660837","121.068555, 14.660854"
G. Apacible Street,residential,88,"121.070034, 14.661802","121.069993, 14.662599"
E. Aguinaldo Street,residential,149,"121.070034, 14.661802","121.068645, 14.661763"
G. Apacible Street,residential,121,"121.070034, 14.661802","121.070492, 14.660837"
E. Aguinaldo Street,residential,78,"121.070034, 14.661802","121.070761, 14.661782"
A. Roces Senior Avenue,residential,25,"121.068628, 14.661532","121.068645, 14.661763"
A. Roces Senior Avenue,residential,75,"121.068628, 14.661532","121.068555, 14.660854"
A. Bautista Street,residential,185,"121.068628, 14.661532","121.066918, 14.661733"
Juan Luna Street,residential,145,"121.068656, 14.662379","121.069993, 14.662599"
A. Roces Senior Avenue,residential,68,"121.068656, 14.662379","121.068645, 14.661763"
"Balagtas Street, Juan Luna Street",residential,228,"121.068656, 14.662379","121.066918, 14.661733"
Juan Luna Street,residential,145,"121.069993, 14.662599","121.068656, 14.662379"
G. Apacible Street,residential,88,"121.069993, 14.662599","121.070034, 14.661802"
Juan Luna Street,residential,139,"121.069993, 14.662599","121.071264, 14.662835"
E. Aguinaldo Street,residential,75,"121.071317, 14.662083","121.071994, 14.662245"
E. Aguinaldo Street,residential,68,"121.071317, 14.662083","121.070761, 14.661782"
Gomburza Street,residential,83,"121.071317, 14.662083","121.071264, 14.662835"
Gomburza Street,residential,70,"121.071994, 14.662245","121.072161, 14.661632"
E. Aguinaldo Street,residential,83,"121.071994, 14.662245","121.072770, 14.662220"
E. Aguinaldo Street,residential,75,"121.071994, 14.662245","121.071317, 14.662083"
Gomburza Street,residential,77,"121.071994, 14.662245","121.071763, 14.662893"
Osmeña Avenue,tertiary,104,"121.071607, 14.656151","121.070634, 14.656143"
F. Agoncillo Street,unclassified,155,"121.071607, 14.656151","121.071606, 14.657553"
Balagtas Street,residential,46,"121.067099, 14.659255","121.067094, 14.659671"
Balagtas Street,residential,189,"121.067099, 14.659255","121.066948, 14.657561"
Unnamed Road,residential,155,"121.067099, 14.659255","121.068540, 14.659256"
Balagtas Street,residential,49,"121.067052, 14.660122","121.066982, 14.660565"
Balagtas Street,residential,50,"121.067052, 14.660122","121.067094, 14.659671"
P. Valenzuela Street,residential,158,"121.067052, 14.660122","121.068522, 14.660129"
Balagtas Street,residential,35,"121.066982, 14.660565","121.066865, 14.660861"
Balagtas Street,residential,49,"121.066982, 14.660565","121.067052, 14.660122"
Bernardo Street,residential,166,"121.066982, 14.660565","121.068529, 14.660574"
Balagtas Street,residential,98,"121.066865, 14.660861","121.066918, 14.661733"
Balagtas Street,residential,35,"121.066865, 14.660861","121.066982, 14.660565"
M. Viola Street,residential,181,"121.066865, 14.660861","121.068555, 14.660854"
Unnamed Road,residential,155,"121.068540, 14.659256","121.067099, 14.659255"
A. Roces Senior Avenue,unclassified,189,"121.068540, 14.659256","121.068572, 14.657549"
A. Roces Senior Avenue,unclassified,17,"121.068540, 14.659256","121.068544, 14.659417"
Balagtas Street,residential,189,"121.066948, 14.657561","121.067099, 14.659255"
Magsaysay Avenue,unclassified,231,"121.066948, 14.657561","121.064800, 14.657577"
Magsaysay Avenue,unclassified,174,"121.066948, 14.657561","121.068572, 14.657549"
Emilio Jacinto Street,unclassified,241,"121.062361, 14.657690","121.063862, 14.658992"
Emilio Jacinto Street,unclassified,82,"121.062361, 14.657690","121.062353, 14.656944"
Magsaysay Avenue,unclassified,136,"121.062361, 14.657690","121.061094, 14.657679"
Magsaysay Avenue,unclassified,262,"121.062361, 14.657690","121.064800, 14.657577"
Ylanan Street,unclassified,156,"121.064800, 14.657577","121.064843, 14.658988"
Ylanan Street,unclassified,146,"121.064800, 14.657577","121.064773, 14.656259"
Magsaysay Avenue,unclassified,262,"121.064800, 14.657577","121.062361, 14.657690"
Magsaysay Avenue,unclassified,231,"121.064800, 14.657577","121.066948, 14.657561"
"Balagtas Street, Juan Luna Street",residential,228,"121.066918, 14.661733","121.068656, 14.662379"
Balagtas Street,residential,98,"121.066918, 14.661733","121.066865, 14.660861"
A. Bautista Street,residential,185,"121.066918, 14.661733","121.068628, 14.661532"
Gomburza Street,residential,70,"121.072161, 14.661632","121.071994, 14.662245"
Gomburza Street,residential,115,"121.072161, 14.661632","121.072551, 14.660698"
Mabini Street,residential,164,"121.072161, 14.661632","121.072226, 14.660405"
Mabini Street,residential,130,"121.072161, 14.661632","121.073304, 14.661423"
Aglipay Street,residential,95,"121.072226, 14.660405","121.071602, 14.659797"
Mabini Street,residential,164,"121.072226, 14.660405","121.072161, 14.661632"
Aglipay Street,residential,47,"121.072226, 14.660405","121.072551, 14.660698"
F. Agoncillo Street,residential,243,"121.070761, 14.661782","121.071602, 14.659797"
E. Aguinaldo Street,residential,68,"121.070761, 14.661782","121.071317, 14.662083"
E. Aguinaldo Street,residential,78,"121.070761, 14.661782","121.070034, 14.661802"
Juan Luna Street,residential,55,"121.071264, 14.662835","121.071763, 14.662893"
Juan Luna Street,residential,139,"121.071264, 14.662835","121.069993, 14.662599"
Gomburza Street,residential,83,"121.071264, 14.662835","121.071317, 14.662083"
Pook Palaris Street,residential,8,"121.073141, 14.662755","121.073210, 14.662711"
Pook Palaris Street,residential,8,"121.073141, 14.662755","121.073210, 14.662711"
Juan Luna Street,residential,24,"121.073141, 14.662755","121.072947, 14.662870"
E. Aguinaldo Street,residential,72,"121.073141, 14.662755","121.072770, 14.662220"
E. Aguinaldo Street,residential,83,"121.072770, 14.662220","121.071994, 14.662245"
E. Aguinaldo Street,residential,72,"121.072770, 14.662220","121.073141, 14.662755"
E. Aguinaldo Street,residential,78,"121.072770, 14.662220","121.073494, 14.662184"
Mabini Street,residential,130,"121.073304, 14.661423","121.072161, 14.661632"
Mabini Street,residential,70,"121.073304, 14.661423","121.073529, 14.660867"
Pook Palaris Street,residential,105,"121.073304, 14.661423","121.073494, 14.662184"
Gomburza Street,residential,115,"121.072551, 14.660698","121.072161, 14.661632"
Gomburza Street,residential,101,"121.072551, 14.660698","121.072700, 14.659802"
Aglipay Street,residential,47,"121.072551, 14.660698","121.072226, 14.660405"
Carlos P. Garcia Avenue,secondary,10,"121.064290, 14.647690","121.064384, 14.647680"
E. de los Reyes Street,unclassified,98,"121.064290, 14.647690","121.064326, 14.648575"
