name,type,length_m,start_lon,start_lat,end_lon,end_lat
University Avenue,tertiary,213,121.064311,14.654997,121.062334,14.654957
Osmeña Avenue,tertiary,20,121.064311,14.654997,121.064315,14.65482
Osmeña Avenue,tertiary,124,121.072755,14.656161,121.071607,14.656151
F. Ma. Guerrero Street,unclassified,155,121.072755,14.656161,121.072738,14.657556
M. Roxas Avenue,tertiary,327,121.068623,14.65387,121.07166,14.653913
A. Roces Senior Avenue,unclassified,153,121.068623,14.65387,121.068644,14.652492
A. Roces Senior Avenue,unclassified,251,121.068623,14.65387,121.068592,14.656126
Emilio Jacinto Street,residential,18,121.062334,14.654957,121.062333,14.654799
Emilio Jacinto Street,unclassified,221,121.062334,14.654957,121.062353,14.656944
University Avenue,tertiary,83,121.062334,14.654957,121.061565,14.654944
Shuster Street,tertiary,14,121.074282,14.65359,121.074147,14.65359
Katipunan Avenue,primary,461,121.074282,14.65359,121.074308,14.649449
Carlos P. Garcia Avenue,secondary,22,121.060241,14.647266,121.060085,14.647397
Magiting Street,tertiary,22,121.060241,14.647266,121.060131,14.647103
Carlos P. Garcia Avenue,secondary,28,121.060241,14.647266,121.060485,14.647174
Aguinaldo Street,residential,372,121.067873,14.647265,121.069763,14.644689
Carlos P. Garcia Avenue,secondary,220,121.067873,14.647265,121.065984,14.647984
Carlos P. Garcia Avenue,secondary,119,121.067873,14.647265,121.068968,14.647203
Carlos P. Garcia Avenue,secondary,18,121.058421,14.654892,121.058424,14.654732
University Avenue,secondary,329,121.058421,14.654892,121.055762,14.655297
Magsaysay Avenue,unclassified,13,121.074224,14.657565,121.074099,14.657563
Magsaysay Avenue,unclassified,31,121.074224,14.657565,121.074514,14.65757
Katipunan Avenue,primary,283,121.074224,14.657565,121.074236,14.655023
F. Agoncillo Street,unclassified,210,121.071606,14.657553,121.071606,14.659439
Magsaysay Avenue,unclassified,105,121.071606,14.657553,121.070628,14.657551
Magsaysay Avenue,unclassified,122,121.071606,14.657553,121.072738,14.657556
F. Agoncillo Street,unclassified,156,121.071606,14.657553,121.071607,14.656151
Osmeña Avenue,tertiary,536,121.068592,14.656126,121.064311,14.654997
A. Roces Senior Avenue,unclassified,251,121.068592,14.656126,121.068623,14.65387
A. Roces Senior Avenue,unclassified,158,121.068592,14.656126,121.068572,14.657549
Dagohoy Street,residential,139,121.0727,14.659802,121.07399,14.659837
Gomburza Street,residential,101,121.0727,14.659802,121.072551,14.660698
F. Ma. Guerrero Street,residential,39,121.0727,14.659802,121.072717,14.659448
Laurel Avenue,unclassified,208,121.068544,14.659417,121.070474,14.659427
A. Roces Senior Avenue,residential,29,121.068544,14.659417,121.068536,14.659674
A. Roces Senior Avenue,unclassified,18,121.068544,14.659417,121.06854,14.659256
F. Ma. Guerrero Street,unclassified,210,121.072717,14.659448,121.072738,14.657556
F. Ma. Guerrero Street,residential,39,121.072717,14.659448,121.0727,14.659802
Laurel Avenue,unclassified,120,121.072717,14.659448,121.071606,14.659439
J. Escaler Street,residential,347,121.074471,14.64501,121.074297,14.646332
J. Escaler Street,residential,347,121.074297,14.646332,121.074471,14.64501
Katipunan Avenue,primary,148,121.074297,14.646332,121.074471,14.64501
A. Maria Regidor Street,unclassified,113,121.0728,14.653571,121.07283,14.652558
Shuster Street,unclassified,145,121.0728,14.653571,121.074147,14.65359
A. Maria Regidor Street,unclassified,29,121.0728,14.653571,121.072773,14.653833
M. Roxas Avenue,tertiary,136,121.064315,14.65482,121.064957,14.653821
Emilio Jacinto Street,residential,18,121.062333,14.654799,121.062334,14.654957
University Avenue,tertiary,213,121.062333,14.654799,121.064315,14.65482
Emilio Jacinto Street,unclassified,204,121.062333,14.654799,121.062331,14.652964
University Avenue,tertiary,339,121.058424,14.654732,121.061572,14.654785
Carlos P. Garcia Avenue,secondary,407,121.058424,14.654732,121.059136,14.651137
Carlos P. Garcia Avenue,secondary,18,121.058424,14.654732,121.058421,14.654892
G. Apacible Street,unclassified,157,121.070628,14.657551,121.070634,14.656143
Magsaysay Avenue,unclassified,221,121.070628,14.657551,121.068572,14.657549
Magsaysay Avenue,unclassified,105,121.070628,14.657551,121.071606,14.657553
Dagohoy Street,residential,139,121.07399,14.659837,121.0727,14.659802
Dagohoy Street,residential,32,121.07399,14.659837,121.073991,14.659545
Dagohoy Street,residential,31,121.07399,14.659837,121.07399,14.660119
Saint Francis Street,residential,96,121.07399,14.659837,121.074882,14.65984
Dagohoy Street,residential,28,121.073994,14.659295,121.073991,14.659545
Dagohoy Street,residential,194,121.073994,14.659295,121.074099,14.657563
Unnamed Pathway,residential,29,121.074806,14.659293,121.074852,14.659548
Ricarte Street,residential,87,121.074806,14.659293,121.073994,14.659295
Unnamed Pathway,residential,38,121.074806,14.659293,121.074718,14.658964
Ricarte Street,residential,59,121.074806,14.659293,121.075354,14.659294
Unnamed Pathway,residential,26,121.074882,14.65984,121.074888,14.660071
Unnamed Pathway,residential,3,121.074882,14.65984,121.07488,14.659817
Saint Francis Street,residential,96,121.074882,14.65984,121.07399,14.659837
Unnamed Pathway,residential,7,121.074838,14.660653,121.074848,14.660591
Unnamed Pathway,residential,34,121.074838,14.660653,121.074774,14.66095
Dagohoy Street,residential,110,121.074838,14.660653,121.074012,14.660392
Quirino Avenue,unclassified,197,121.068644,14.652492,121.067004,14.651801
Quirino Avenue,unclassified,328,121.068644,14.652492,121.071692,14.652534
Velasquez Street,unclassified,600,121.068644,14.652492,121.068968,14.647203
A. Roces Senior Avenue,unclassified,153,121.068644,14.652492,121.068623,14.65387
F. Agoncillo Street,residential,40,121.071606,14.659439,121.071602,14.659797
Laurel Avenue,unclassified,120,121.071606,14.659439,121.072717,14.659448
Laurel Avenue,unclassified,106,121.071606,14.659439,121.070618,14.659428
Laurel Avenue,unclassified,15,121.070618,14.659428,121.070474,14.659427
G. Apacible Street,unclassified,209,121.070618,14.659428,121.070628,14.657551
Laurel Avenue,unclassified,106,121.070618,14.659428,121.071606,14.659439
Magsaysay Avenue,unclassified,221,121.068572,14.657549,121.070628,14.657551
A. Roces Senior Avenue,unclassified,158,121.068572,14.657549,121.068592,14.656126
Magsaysay Avenue,unclassified,175,121.068572,14.657549,121.066948,14.657561
A. Roces Senior Avenue,unclassified,190,121.068572,14.657549,121.06854,14.659256
A. Roces Senior Avenue,residential,76,121.068555,14.660854,121.068628,14.661532
A. Roces Senior Avenue,residential,31,121.068555,14.660854,121.068529,14.660574
M. Viola Street,residential,182,121.068555,14.660854,121.066865,14.660861
M. Viola Street,residential,208,121.068555,14.660854,121.070492,14.660837
A. Roces Senior Avenue,residential,37,121.068521,14.660237,121.068529,14.660574
A. Roces Senior Avenue,residential,12,121.068521,14.660237,121.068522,14.660129
G. Apacible Street,residential,70,121.070472,14.660209,121.070492,14.660837
P. Valenzuela Street,residential,210,121.070472,14.660209,121.068521,14.660237
G. Apacible Street,residential,70,121.070492,14.660837,121.070472,14.660209
G. Apacible Street,residential,122,121.070492,14.660837,121.070034,14.661802
M. Viola Street,residential,208,121.070492,14.660837,121.068555,14.660854
G. Apacible Street,residential,89,121.070034,14.661802,121.069993,14.662599
E. Aguinaldo Street,residential,149,121.070034,14.661802,121.068645,14.661763
G. Apacible Street,residential,122,121.070034,14.661802,121.070492,14.660837
E. Aguinaldo Street,residential,78,121.070034,14.661802,121.070761,14.661782
A. Roces Senior Avenue,residential,26,121.068628,14.661532,121.068645,14.661763
A. Roces Senior Avenue,residential,76,121.068628,14.661532,121.068555,14.660854
A. Bautista Street,residential,185,121.068628,14.661532,121.066918,14.661733
Juan Luna Street,residential,146,121.068656,14.662379,121.069993,14.662599
A. Roces Senior Avenue,residential,69,121.068656,14.662379,121.068645,14.661763
"Juan Luna Street, Balagtas Street",residential,228,121.068656,14.662379,121.066918,14.661733
Juan Luna Street,residential,146,121.069993,14.662599,121.068656,14.662379
G. Apacible Street,residential,89,121.069993,14.662599,121.070034,14.661802
Juan Luna Street,residential,139,121.069993,14.662599,121.071264,14.662835
E. Aguinaldo Street,residential,75,121.071317,14.662083,121.071994,14.662245
E. Aguinaldo Street,residential,69,121.071317,14.662083,121.070761,14.661782
Gomburza Street,residential,84,121.071317,14.662083,121.071264,14.662835
Gomburza Street,residential,71,121.071994,14.662245,121.072161,14.661632
E. Aguinaldo Street,residential,84,121.071994,14.662245,121.07277,14.66222
E. Aguinaldo Street,residential,75,121.071994,14.662245,121.071317,14.662083
Gomburza Street,residential,78,121.071994,14.662245,121.071763,14.662893
Osmeña Avenue,tertiary,105,121.071607,14.656151,121.070634,14.656143
F. Agoncillo Street,unclassified,156,121.071607,14.656151,121.071606,14.657553
Balagtas Street,residential,46,121.067099,14.659255,121.067094,14.659671
Balagtas Street,residential,190,121.067099,14.659255,121.066948,14.657561
Unnamed Pathway,residential,155,121.067099,14.659255,121.06854,14.659256
Balagtas Street,residential,50,121.067052,14.660122,121.066982,14.660565
Balagtas Street,residential,50,121.067052,14.660122,121.067094,14.659671
P. Valenzuela Street,residential,158,121.067052,14.660122,121.068522,14.660129
Balagtas Street,residential,35,121.066982,14.660565,121.066865,14.660861
Balagtas Street,residential,50,121.066982,14.660565,121.067052,14.660122
Bernardo Street,residential,166,121.066982,14.660565,121.068529,14.660574
Balagtas Street,residential,98,121.066865,14.660861,121.066918,14.661733
Balagtas Street,residential,35,121.066865,14.660861,121.066982,14.660565
M. Viola Street,residential,182,121.066865,14.660861,121.068555,14.660854
Unnamed Pathway,residential,155,121.06854,14.659256,121.067099,14.659255
A. Roces Senior Avenue,unclassified,190,121.06854,14.659256,121.068572,14.657549
A. Roces Senior Avenue,unclassified,18,121.06854,14.659256,121.068544,14.659417
Balagtas Street,residential,190,121.066948,14.657561,121.067099,14.659255
Magsaysay Avenue,unclassified,231,121.066948,14.657561,121.0648,14.657577
Magsaysay Avenue,unclassified,175,121.066948,14.657561,121.068572,14.657549
Emilio Jacinto Street,unclassified,241,121.062361,14.65769,121.063862,14.658992
Emilio Jacinto Street,unclassified,83,121.062361,14.65769,121.062353,14.656944
Magsaysay Avenue,unclassified,136,121.062361,14.65769,121.061094,14.657679
Magsaysay Avenue,unclassified,263,121.062361,14.65769,121.0648,14.657577
Ylanan Street,unclassified,157,121.0648,14.657577,121.064843,14.658988
Ylanan Street,unclassified,147,121.0648,14.657577,121.064773,14.656259
Magsaysay Avenue,unclassified,263,121.0648,14.657577,121.062361,14.65769
Magsaysay Avenue,unclassified,231,121.0648,14.657577,121.066948,14.657561
"Balagtas Street, Juan Luna Street",residential,228,121.066918,14.661733,121.068656,14.662379
Balagtas Street,residential,98,121.066918,14.661733,121.066865,14.660861
A. Bautista Street,residential,185,121.066918,14.661733,121.068628,14.661532
Gomburza Street,residential,71,121.072161,14.661632,121.071994,14.662245
Gomburza Street,residential,115,121.072161,14.661632,121.072551,14.660698
Mabini Street,residential,164,121.072161,14.661632,121.072226,14.660405
Mabini Street,residential,130,121.072161,14.661632,121.073304,14.661423
Aglipay Street,residential,95,121.072226,14.660405,121.071602,14.659797
Mabini Street,residential,164,121.072226,14.660405,121.072161,14.661632
Aglipay Street,residential,48,121.072226,14.660405,121.072551,14.660698
F. Agoncillo Street,residential,243,121.070761,14.661782,121.071602,14.659797
E. Aguinaldo Street,residential,69,121.070761,14.661782,121.071317,14.662083
E. Aguinaldo Street,residential,78,121.070761,14.661782,121.070034,14.661802
Juan Luna Street,residential,56,121.071264,14.662835,121.071763,14.662893
Juan Luna Street,residential,139,121.071264,14.662835,121.069993,14.662599
Gomburza Street,residential,84,121.071264,14.662835,121.071317,14.662083
Pook Palaris Street,residential,9,121.073141,14.662755,121.07321,14.662711
Pook Palaris Street,residential,9,121.073141,14.662755,121.07321,14.662711
Juan Luna Street,residential,24,121.073141,14.662755,121.072947,14.66287
E. Aguinaldo Street,residential,72,121.073141,14.662755,121.07277,14.66222
E. Aguinaldo Street,residential,84,121.07277,14.66222,121.071994,14.662245
E. Aguinaldo Street,residential,72,121.07277,14.66222,121.073141,14.662755
E. Aguinaldo Street,residential,78,121.07277,14.66222,121.073494,14.662184
Mabini Street,residential,130,121.073304,14.661423,121.072161,14.661632
Mabini Street,residential,71,121.073304,14.661423,121.073529,14.660867
Pook Palaris Street,residential,105,121.073304,14.661423,121.073494,14.662184
Gomburza Street,residential,115,121.072551,14.660698,121.072161,14.661632
Gomburza Street,residential,101,121.072551,14.660698,121.0727,14.659802
Aglipay Street,residential,48,121.072551,14.660698,121.072226,14.660405
Carlos P. Garcia Avenue,secondary,10,121.06429,14.64769,121.064384,14.64768
E. de los Reyes Street,unclassified,98,121.06429,14.64769,121.064326,14.648575
Carlos P. Garcia Avenue,secondary,210,121.06429,14.64769,121.062376,14.647355
Emilio Jacinto Street,unclassified,50,121.062325,14.650651,121.062324,14.6502
Village B,residential,224,121.062325,14.650651,121.064405,14.650648
Emilio Jacinto Street,unclassified,257,121.062325,14.650651,121.062331,14.652964
Emilio Jacinto Street,unclassified,50,121.062324,14.6502,121.062325,14.650651
Village B,residential,222,121.062324,14.6502,121.064388,14.650203
Emilio Jacinto Street,unclassified,66,121.062324,14.6502,121.062323,14.649605
Lakandula Street,unclassified,73,121.064495,14.653014,121.065169,14.65303
Lakandula Street,unclassified,233,121.064495,14.653014,121.062331,14.652964
E. de los Reyes Street,unclassified,263,121.064495,14.653014,121.064405,14.650648
Village B,residential,224,121.064405,14.650648,121.062325,14.650651
E. de los Reyes Street,unclassified,49,121.064405,14.650648,121.064388,14.650203
E. de los Reyes Street,unclassified,263,121.064405,14.650648,121.064495,14.653014
Village B,residential,222,121.064388,14.650203,121.062324,14.6502
E. de los Reyes Street,unclassified,118,121.064388,14.650203,121.064348,14.64914
E. de los Reyes Street,unclassified,49,121.064388,14.650203,121.064405,14.650648
Quirino Avenue,unclassified,197,121.067004,14.651801,121.068644,14.652492
T. M. Kalaw Street,unclassified,241,121.067004,14.651801,121.065169,14.65303
Quirino Avenue,unclassified,164,121.067004,14.651801,121.066821,14.650377
Quirino Avenue,unclassified,164,121.066821,14.650377,121.067004,14.651801
Pardo de Tavera Street,unclassified,305,121.066821,14.650377,121.065984,14.647984
E. de los Santos Street,unclassified,380,121.066821,14.650377,121.065169,14.65303
Emilio Jacinto Street,unclassified,257,121.062331,14.652964,121.062325,14.650651
Lakandula Street,unclassified,233,121.062331,14.652964,121.064495,14.653014
Emilio Jacinto Street,unclassified,204,121.062331,14.652964,121.062333,14.654799
Carlos P. Garcia Avenue,secondary,167,121.068968,14.647203,121.070519,14.647278
Carlos P. Garcia Avenue,secondary,119,121.068968,14.647203,121.067873,14.647265
Velasquez Street,unclassified,600,121.068968,14.647203,121.068644,14.652492
Aglipay Street,residential,95,121.071602,14.659797,121.072226,14.660405
F. Agoncillo Street,residential,243,121.071602,14.659797,121.070761,14.661782
F. Agoncillo Street,residential,40,121.071602,14.659797,121.071606,14.659439
Carlos P. Garcia Avenue,secondary,40,121.065029,14.647727,121.065388,14.647802
